decile3,decile1,sex,lsat,ugpa,grad,bar1,fulltime,fam_inc,gender,race1,tier
5.0,7.0,1.0,28.0,3.5,Y,F,1.0,2.0,female,hisp,1.0
2.0,3.0,1.0,33.0,3.5,Y,F,1.0,4.0,female,white,2.0
5.0,6.0,1.0,36.0,3.5,Y,P,1.0,3.0,female,white,4.0
3.0,5.0,1.0,33.0,3.5,Y,F,1.0,4.0,female,white,5.0
7.0,7.0,1.0,30.0,3.5,Y,F,1.0,3.0,female,white,2.0
10.0,10.0,2.0,34.0,3.5,Y,P,1.0,3.0,male,white,3.0
4.0,4.0,1.0,32.0,3.5,Y,P,1.0,4.0,female,white,5.0
2.0,1.0,1.0,32.0,3.5,Y,F,1.0,3.0,female,white,4.0
3.0,2.0,1.0,28.0,3.5,Y,P,1.0,4.0,female,white,3.0
6.0,4.0,1.0,41.0,3.5,Y,P,1.0,3.0,female,white,6.0
4.0,2.0,2.0,35.0,3.5,Y,F,1.0,3.0,male,white,2.0
7.0,5.0,2.0,35.0,3.5,Y,F,2.0,3.0,male,white,3.0
7.0,6.0,2.0,37.0,3.5,Y,P,1.0,4.0,male,white,3.0
4.0,2.0,2.0,44.0,3.5,Y,F,1.0,3.0,male,white,6.0
9.0,6.0,2.0,45.0,3.5,Y,F,1.0,2.0,male,white,3.0
4.0,6.0,2.0,29.0,3.5,Y,P,1.0,3.0,male,white,3.0
4.0,4.0,1.0,44.0,3.5,Y,P,1.0,3.0,female,white,4.0
3.0,2.0,2.0,44.0,3.5,Y,P,1.0,3.0,male,white,6.0
3.0,4.0,1.0,25.0,3.5,Y,F,1.0,5.0,female,white,4.0
2.0,2.0,2.0,33.0,3.5,Y,F,1.0,4.0,male,white,4.0
8.0,7.0,1.0,39.0,3.5,Y,P,1.0,4.0,female,white,3.0
6.0,4.0,1.0,39.0,3.5,Y,P,1.0,2.0,female,white,5.0
4.0,4.0,1.0,26.0,3.5,Y,F,1.0,1.0,female,white,4.0
4.0,8.0,1.0,28.0,3.5,Y,P,1.0,3.0,female,white,5.0
4.0,5.0,2.0,39.0,3.5,Y,P,1.0,4.0,male,white,4.0
2.0,4.0,2.0,39.0,3.5,Y,F,1.0,3.0,male,white,4.0
1.0,2.0,1.0,41.0,3.5,Y,F,1.0,4.0,female,asian,5.0
10.0,10.0,2.0,31.0,3.5,Y,P,1.0,3.0,male,white,3.0
7.0,7.0,2.0,38.0,3.5,Y,P,1.0,4.0,male,white,4.0
1.0,2.0,2.0,31.0,3.5,Y,P,1.0,3.0,male,white,5.0
1.0,1.0,1.0,31.0,3.5,Y,F,1.0,3.0,female,white,4.0
7.0,5.0,2.0,46.0,3.5,Y,P,1.0,4.0,male,white,6.0
4.0,4.0,1.0,22.0,3.5,Y,F,1.0,4.0,female,black,3.0
7.0,6.0,2.0,32.0,3.5,Y,F,2.0,3.0,male,white,5.0
1.0,2.0,2.0,36.0,3.5,Y,F,1.0,3.0,male,white,4.0
2.0,1.0,1.0,36.0,3.5,Y,F,2.0,4.0,female,white,3.0
2.0,3.0,2.0,29.0,3.5,Y,F,1.0,5.0,male,white,3.0
7.0,6.0,1.0,33.0,3.5,Y,P,1.0,5.0,female,asian,3.0
4.0,4.0,2.0,34.0,3.5,Y,P,1.0,4.0,male,hisp,6.0
8.0,9.0,2.0,38.0,3.5,Y,P,1.0,4.0,male,white,3.0
8.0,8.0,1.0,46.0,3.5,Y,P,1.0,3.0,female,white,5.0
3.0,3.0,1.0,37.0,3.5,Y,F,1.0,3.0,female,white,4.0
3.0,3.0,1.0,44.0,3.5,Y,P,1.0,3.0,female,white,3.0
1.0,4.0,2.0,32.0,3.5,Y,F,1.0,3.0,male,hisp,3.0
10.0,10.0,1.0,34.0,3.5,Y,P,1.0,4.0,female,white,3.0
5.0,4.0,2.0,38.0,3.5,Y,P,1.0,5.0,male,white,5.0
8.0,5.0,1.0,40.0,3.5,Y,P,1.0,4.0,female,white,5.0
7.0,7.0,2.0,28.0,3.5,Y,P,1.0,2.0,male,white,3.0
2.0,5.0,1.0,29.0,3.5,Y,F,1.0,3.0,female,white,1.0
4.0,3.0,1.0,28.0,3.5,Y,F,1.0,4.0,female,hisp,3.0
3.0,3.0,2.0,36.3,3.5,Y,F,1.0,2.0,male,white,4.0
3.0,3.0,2.0,46.0,3.5,Y,F,1.0,4.0,male,white,6.0
2.0,6.0,2.0,37.0,3.5,Y,F,1.0,4.0,male,white,3.0
