,tier,race1,gender,fulltime,sex,decile1b,Unnamed: 0.1,Unnamed: 0,decile3,decile1,lsat,ugpa,grad,bar1,fam_inc,Unary_Unnamed: 0.1,Unary_Unnamed: 0,Unary_decile3,sex_1.0,sex_2.0,Unary_lsat,Unary_ugpa,Unary_grad,fulltime_1.0,fulltime_2.0,Unary_fam_inc,gender_0,gender_1,race1_0,race1_1,race1_2,race1_3,race1_4,tier_1.0,tier_2.0,tier_3.0,tier_4.0,tier_5.0,tier_6.0,academic_performance,"GROUPBY_['sex', 'fulltime']_mean_lsat","GROUPBY_['sex', 'tier']_mean_lsat","GROUPBY_['sex', 'race1']_mean_lsat","GROUPBY_['sex', 'tier']_mean_ugpa","GROUPBY_['sex', 'fulltime']_mean_ugpa","GROUPBY_['sex', 'tier']_std_lsat","GROUPBY_['sex', 'race1', 'tier']_median_lsat","GROUPBY_['race1', 'tier']_mean_ugpa","GROUPBY_['sex', 'tier', 'fulltime']_mean_fam_inc","GROUPBY_['sex', 'race1', 'tier']_mean_ugpa",lsat_minus_ugpa
0,1.0,0,0,1.0,1.0,7.0,0,0,5.0,7.0,0,0,0,0,2.0,0.0,0,0.5,True,False,0.0,0.0,0.0,True,False,0.25,True,False,True,False,False,False,False,True,False,False,False,False,False,0,1.0680127523910734,0.11764705882352941,0.5714285714285714,1.188235294117647,1.2731137088204039,0.4475266607084073,0.0,1.16,2.951219512195122,1.4,0
1,2.0,1,0,1.0,1.0,2.0,1,1,2.0,3.0,0,0,0,0,4.0,0.1,1,0.2,True,False,0.0,0.0,0.0,True,False,0.75,True,False,False,True,False,False,False,False,True,False,False,False,False,0,1.0680127523910734,0.6395939086294417,1.2883135059482156,1.1218274111675126,1.2731137088204039,0.924196196572256,0.0,1.148936170212766,3.2960893854748603,1.1401273885350318,0
2,3.0,1,0,1.0,1.0,6.0,2,2,7.0,7.0,0,0,0,1,2.0,0.2,4,0.7,True,False,0.0,0.0,0.0,True,False,0.25,True,False,False,True,False,False,False,False,False,True,False,False,False,0,1.0680127523910734,0.9485924112607099,1.2883135059482156,1.237454100367197,1.2731137088204039,0.9986761342736845,1.0,1.2040208488458675,3.4115168539325844,1.2466666666666666,0
3,5.0,1,0,1.0,1.0,5.0,3,3,3.0,5.0,0,0,0,0,4.0,0.30000000000000004,9,0.3,True,False,0.0,0.0,0.0,True,False,0.75,True,False,False,True,False,False,False,False,False,False,False,True,False,0,1.0680127523910734,1.218487394957983,1.2883135059482156,1.319327731092437,1.2731137088204039,1.1053470439737765,1.0,1.383587786259542,3.3419354838709676,1.3888888888888888,0
4,3.0,1,0,1.0,1.0,1.0,4,4,1.0,1.0,0,0,0,1,3.0,0.4,16,0.1,True,False,0.0,0.0,0.0,True,False,0.5,True,False,False,True,False,False,False,False,False,True,False,False,False,0,1.0680127523910734,0.9485924112607099,1.2883135059482156,1.237454100367197,1.2731137088204039,0.9986761342736845,1.0,1.2040208488458675,3.4115168539325844,1.2466666666666666,0
5,2.0,1,0,1.0,1.0,7.0,5,5,7.0,7.0,0,0,0,0,3.0,0.5,25,0.7,True,False,0.0,0.0,0.0,True,False,0.5,True,False,False,True,False,False,False,False,True,False,False,False,False,0,1.0680127523910734,0.6395939086294417,1.2883135059482156,1.1218274111675126,1.2731137088204039,0.924196196572256,0.0,1.148936170212766,3.2960893854748603,1.1401273885350318,0
6,4.0,1,0,1.0,1.0,6.0,6,6,7.0,6.0,1,0,0,1,2.0,0.6000000000000001,36,0.7,True,False,0.3333333333333333,0.0,0.0,True,False,0.25,True,False,False,True,False,False,False,False,False,False,True,False,False,0,1.0680127523910734,1.2362948960302458,1.2883135059482156,1.3194706994328922,1.2731137088204039,1.0566018447486132,2.0,1.4006928406466512,3.3685258964143427,1.420911528150134,1
7,3.0,1,0,1.0,1.0,10.0,7,7,9.0,10.0,2,0,0,1,4.0,0.7000000000000001,49,0.9,True,False,0.6666666666666666,0.0,0.0,True,False,0.75,True,False,False,True,False,False,False,False,False,True,False,False,False,0,1.0680127523910734,0.9485924112607099,1.2883135059482156,1.237454100367197,1.2731137088204039,0.9986761342736845,1.0,1.2040208488458675,3.4115168539325844,1.2466666666666666,2
8,4.0,1,0,1.0,1.0,1.0,8,8,2.0,1.0,0,0,0,0,3.0,0.8,64,0.2,True,False,0.0,0.0,0.0,True,False,0.5,True,False,False,True,False,False,False,False,False,False,True,False,False,0,1.0680127523910734,1.2362948960302458,1.2883135059482156,1.3194706994328922,1.2731137088204039,1.0566018447486132,2.0,1.4006928406466512,3.3685258964143427,1.420911528150134,0
9,5.0,1,1,1.0,2.0,2.0,9,9,3.0,2.0,1,0,0,1,4.0,0.9,81,0.3,False,True,0.3333333333333333,0.0,0.0,True,False,0.75,False,True,False,True,False,False,False,False,False,False,False,True,False,0,1.263457330415755,1.6125,1.4224049331963,1.365,1.2827133479212254,1.106981150774676,2.0,1.383587786259542,3.4404761904761907,1.37987012987013,1
10,2.0,1,1,1.0,2.0,2.0,10,10,4.0,2.0,2,0,0,0,3.0,1.0,100,0.4,False,True,0.6666666666666666,0.0,0.0,True,False,0.5,False,True,False,True,False,False,False,False,True,False,False,False,False,0,1.263457330415755,0.6655518394648829,1.4224049331963,1.1505016722408026,1.2827133479212254,0.9169455861031895,0.0,1.148936170212766,3.5107913669064748,1.1541353383458646,2
11,4.0,1,0,1.0,1.0,7.0,11,11,7.0,7.0,1,0,0,1,3.0,1.1,121,0.7,True,False,0.3333333333333333,0.0,0.0,True,False,0.5,True,False,False,True,False,False,False,False,False,False,True,False,False,0,1.0680127523910734,1.2362948960302458,1.2883135059482156,1.3194706994328922,1.2731137088204039,1.0566018447486132,2.0,1.4006928406466512,3.3685258964143427,1.420911528150134,1
12,3.0,1,1,2.0,2.0,4.0,12,12,7.0,5.0,2,0,0,0,3.0,1.2000000000000002,144,0.7,False,True,0.6666666666666666,0.0,0.0,False,True,0.5,False,True,False,True,False,False,False,False,False,True,False,False,False,0,0.9502262443438914,1.1003271537622683,1.4224049331963,1.1472191930207198,1.167420814479638,0.9805810492578442,1.0,1.2040208488458675,3.2718446601941746,1.1695827725437415,2
13,6.0,1,1,1.0,2.0,2.0,13,13,4.0,2.0,3,0,0,0,3.0,1.3,169,0.4,False,True,1.0,0.0,0.0,True,False,0.5,False,True,False,True,False,False,False,False,False,False,False,False,True,0,1.263457330415755,2.0463576158940397,1.4224049331963,1.8741721854304636,1.2827133479212254,1.13335930368894,3.0,1.770949720670391,3.76158940397351,1.9469026548672566,3
14,3.0,1,1,1.0,2.0,10.0,14,14,9.0,10.0,1,0,0,1,3.0,1.4000000000000001,196,0.9,False,True,0.3333333333333333,0.0,0.0,True,False,0.5,False,True,False,True,False,False,False,False,False,True,False,False,False,0,1.263457330415755,1.1003271537622683,1.4224049331963,1.1472191930207198,1.2827133479212254,0.9805810492578442,1.0,1.2040208488458675,3.4656019656019654,1.1695827725437415,1
15,3.0,1,1,1.0,2.0,6.0,15,15,9.0,6.0,3,0,0,0,2.0,1.5,225,0.9,False,True,1.0,0.0,0.0,True,False,0.25,False,True,False,True,False,False,False,False,False,True,False,False,False,0,1.263457330415755,1.1003271537622683,1.4224049331963,1.1472191930207198,1.2827133479212254,0.9805810492578442,1.0,1.2040208488458675,3.4656019656019654,1.1695827725437415,3
16,4.0,1,1,1.0,2.0,7.0,16,16,6.0,8.0,3,0,0,1,5.0,1.6,256,0.6,False,True,1.0,0.0,0.0,True,False,1.0,False,True,False,True,False,False,False,False,False,False,True,False,False,0,1.263457330415755,1.4364207221350078,1.4224049331963,1.3406593406593406,1.2827133479212254,1.086419194179608,2.0,1.4006928406466512,3.370860927152318,1.385395537525355,3
17,3.0,1,1,1.0,2.0,3.0,17,17,3.0,3.0,0,0,0,1,4.0,1.7000000000000002,289,0.3,False,True,0.0,0.0,0.0,True,False,0.75,False,True,False,True,False,False,False,False,False,True,False,False,False,0,1.263457330415755,1.1003271537622683,1.4224049331963,1.1472191930207198,1.2827133479212254,0.9805810492578442,1.0,1.2040208488458675,3.4656019656019654,1.1695827725437415,0
18,3.0,1,0,1.0,1.0,8.0,18,18,7.0,8.0,1,0,0,1,4.0,1.8,324,0.7,True,False,0.3333333333333333,0.0,0.0,True,False,0.75,True,False,False,True,False,False,False,False,False,True,False,False,False,0,1.0680127523910734,0.9485924112607099,1.2883135059482156,1.237454100367197,1.2731137088204039,0.9986761342736845,1.0,1.2040208488458675,3.4115168539325844,1.2466666666666666,1
19,4.0,1,0,1.0,1.0,4.0,19,19,3.0,4.0,0,0,0,0,5.0,1.9000000000000001,361,0.3,True,False,0.0,0.0,0.0,True,False,1.0,True,False,False,True,False,False,False,False,False,False,True,False,False,0,1.0680127523910734,1.2362948960302458,1.2883135059482156,1.3194706994328922,1.2731137088204039,1.0566018447486132,2.0,1.4006928406466512,3.3685258964143427,1.420911528150134,0
20,4.0,1,1,1.0,2.0,2.0,20,20,2.0,2.0,0,0,0,0,4.0,2.0,400,0.2,False,True,0.0,0.0,0.0,True,False,0.75,False,True,False,True,False,False,False,False,False,False,True,False,False,0,1.263457330415755,1.4364207221350078,1.4224049331963,1.3406593406593406,1.2827133479212254,1.086419194179608,2.0,1.4006928406466512,3.370860927152318,1.385395537525355,0
21,2.0,1,1,1.0,2.0,3.0,21,21,3.0,4.0,0,0,0,1,4.0,2.1,441,0.3,False,True,0.0,0.0,0.0,True,False,0.75,False,True,False,True,False,False,False,False,True,False,False,False,False,0,1.263457330415755,0.6655518394648829,1.4224049331963,1.1505016722408026,1.2827133479212254,0.9169455861031895,0.0,1.148936170212766,3.5107913669064748,1.1541353383458646,0
22,6.0,1,0,1.0,1.0,7.0,22,22,7.0,7.0,3,0,0,1,3.0,2.2,484,0.7,True,False,1.0,0.0,0.0,True,False,0.5,True,False,False,True,False,False,False,False,False,False,False,False,True,0,1.0680127523910734,1.696969696969697,1.2883135059482156,1.5252525252525253,1.2731137088204039,1.1379765918340115,3.0,1.770949720670391,3.4536082474226806,1.4696969696969697,3
23,4.0,1,0,1.0,1.0,4.0,23,23,4.0,4.0,0,0,0,0,1.0,2.3000000000000003,529,0.4,True,False,0.0,0.0,0.0,True,False,0.0,True,False,False,True,False,False,False,False,False,False,True,False,False,0,1.0680127523910734,1.2362948960302458,1.2883135059482156,1.3194706994328922,1.2731137088204039,1.0566018447486132,2.0,1.4006928406466512,3.3685258964143427,1.420911528150134,0
24,5.0,1,0,1.0,1.0,8.0,24,24,4.0,8.0,0,0,0,1,3.0,2.4000000000000004,576,0.4,True,False,0.0,0.0,0.0,True,False,0.5,True,False,False,True,False,False,False,False,False,False,False,True,False,0,1.0680127523910734,1.218487394957983,1.2883135059482156,1.319327731092437,1.2731137088204039,1.1053470439737765,1.0,1.383587786259542,3.3419354838709676,1.3888888888888888,0
25,3.0,1,0,1.0,1.0,5.0,25,25,4.0,5.0,2,0,0,1,4.0,2.5,625,0.4,True,False,0.6666666666666666,0.0,0.0,True,False,0.75,True,False,False,True,False,False,False,False,False,True,False,False,False,0,1.0680127523910734,0.9485924112607099,1.2883135059482156,1.237454100367197,1.2731137088204039,0.9986761342736845,1.0,1.2040208488458675,3.4115168539325844,1.2466666666666666,2
26,4.0,1,1,1.0,2.0,5.0,26,26,4.0,5.0,1,0,0,1,4.0,2.6,676,0.4,False,True,0.3333333333333333,0.0,0.0,True,False,0.75,False,True,False,True,False,False,False,False,False,False,True,False,False,0,1.263457330415755,1.4364207221350078,1.4224049331963,1.3406593406593406,1.2827133479212254,1.086419194179608,2.0,1.4006928406466512,3.370860927152318,1.385395537525355,1
27,4.0,1,1,1.0,2.0,4.0,27,27,2.0,4.0,1,0,0,0,3.0,2.7,729,0.2,False,True,0.3333333333333333,0.0,0.0,True,False,0.5,False,True,False,True,False,False,False,False,False,False,True,False,False,0,1.263457330415755,1.4364207221350078,1.4224049331963,1.3406593406593406,1.2827133479212254,1.086419194179608,2.0,1.4006928406466512,3.370860927152318,1.385395537525355,1
28,5.0,2,0,1.0,1.0,2.0,28,28,1.0,2.0,1,0,0,0,4.0,2.8000000000000003,784,0.1,True,False,0.3333333333333333,0.0,0.0,True,False,0.75,True,False,False,False,True,False,False,False,False,False,False,True,False,0,1.0680127523910734,1.218487394957983,0.9035087719298246,1.319327731092437,1.2731137088204039,1.1053470439737765,1.0,1.4264705882352942,3.3419354838709676,1.6111111111111112,1
29,4.0,1,0,1.0,1.0,1.0,29,29,1.0,1.0,1,0,0,1,5.0,2.9000000000000004,841,0.1,True,False,0.3333333333333333,0.0,0.0,True,False,1.0,True,False,False,True,False,False,False,False,False,False,True,False,False,0,1.0680127523910734,1.2362948960302458,1.2883135059482156,1.3194706994328922,1.2731137088204039,1.0566018447486132,2.0,1.4006928406466512,3.3685258964143427,1.420911528150134,1
30,3.0,1,0,1.0,1.0,5.0,30,30,6.0,5.0,0,0,0,1,3.0,3.0,900,0.6,True,False,0.0,0.0,0.0,True,False,0.5,True,False,False,True,False,False,False,False,False,True,False,False,False,0,1.0680127523910734,0.9485924112607099,1.2883135059482156,1.237454100367197,1.2731137088204039,0.9986761342736845,1.0,1.2040208488458675,3.4115168539325844,1.2466666666666666,0
31,5.0,1,1,1.0,2.0,9.0,31,31,9.0,9.0,0,0,0,1,2.0,3.1,961,0.9,False,True,0.0,0.0,0.0,True,False,0.25,False,True,False,True,False,False,False,False,False,False,False,True,False,0,1.263457330415755,1.6125,1.4224049331963,1.365,1.2827133479212254,1.106981150774676,2.0,1.383587786259542,3.4404761904761907,1.37987012987013,0
32,6.0,1,0,1.0,1.0,1.0,32,32,2.0,1.0,3,0,0,1,3.0,3.2,1024,0.2,True,False,1.0,0.0,0.0,True,False,0.5,True,False,False,True,False,False,False,False,False,False,False,False,True,0,1.0680127523910734,1.696969696969697,1.2883135059482156,1.5252525252525253,1.2731137088204039,1.1379765918340115,3.0,1.770949720670391,3.4536082474226806,1.4696969696969697,3
33,5.0,1,1,1.0,2.0,2.0,33,33,1.0,2.0,0,0,0,1,3.0,3.3000000000000003,1089,0.1,False,True,0.0,0.0,0.0,True,False,0.5,False,True,False,True,False,False,False,False,False,False,False,True,False,0,1.263457330415755,1.6125,1.4224049331963,1.365,1.2827133479212254,1.106981150774676,2.0,1.383587786259542,3.4404761904761907,1.37987012987013,0
34,4.0,1,0,1.0,1.0,1.0,34,34,1.0,1.0,0,0,0,0,3.0,3.4000000000000004,1156,0.1,True,False,0.0,0.0,0.0,True,False,0.5,True,False,False,True,False,False,False,False,False,False,True,False,False,0,1.0680127523910734,1.2362948960302458,1.2883135059482156,1.3194706994328922,1.2731137088204039,1.0566018447486132,2.0,1.4006928406466512,3.3685258964143427,1.420911528150134,0
35,3.0,3,0,1.0,1.0,4.0,35,35,4.0,4.0,0,0,0,0,4.0,3.5,1225,0.4,True,False,0.0,0.0,0.0,True,False,0.75,True,False,False,False,False,True,False,False,False,True,False,False,False,0,1.0680127523910734,0.9485924112607099,0.2529411764705882,1.237454100367197,1.2731137088204039,0.9986761342736845,0.0,1.1633986928104576,3.4115168539325844,1.1851851851851851,0
36,5.0,1,1,2.0,2.0,6.0,36,36,7.0,6.0,0,0,0,0,3.0,3.6,1296,0.7,False,True,0.0,0.0,0.0,False,True,0.5,False,True,False,True,False,False,False,False,False,False,False,True,False,0,0.9502262443438914,1.6125,1.4224049331963,1.365,1.167420814479638,1.106981150774676,2.0,1.383587786259542,3.265625,1.37987012987013,0
37,6.0,1,1,1.0,2.0,7.0,37,37,7.0,7.0,3,0,0,1,4.0,3.7,1369,0.7,False,True,1.0,0.0,0.0,True,False,0.75,False,True,False,True,False,False,False,False,False,False,False,False,True,0,1.263457330415755,2.0463576158940397,1.4224049331963,1.8741721854304636,1.2827133479212254,1.13335930368894,3.0,1.770949720670391,3.76158940397351,1.9469026548672566,3
38,4.0,2,0,1.0,1.0,3.0,38,38,3.0,3.0,1,0,0,1,3.0,3.8000000000000003,1444,0.3,True,False,0.3333333333333333,0.0,0.0,True,False,0.5,True,False,False,False,True,False,False,False,False,False,True,False,False,0,1.0680127523910734,1.2362948960302458,0.9035087719298246,1.3194706994328922,1.2731137088204039,1.0566018447486132,1.0,1.0444444444444445,3.3685258964143427,0.7391304347826086,1
39,2.0,1,1,1.0,2.0,9.0,39,39,8.0,9.0,0,0,0,1,4.0,3.9000000000000004,1521,0.8,False,True,0.0,0.0,0.0,True,False,0.75,False,True,False,True,False,False,False,False,True,False,False,False,False,0,1.263457330415755,0.6655518394648829,1.4224049331963,1.1505016722408026,1.2827133479212254,0.9169455861031895,0.0,1.148936170212766,3.5107913669064748,1.1541353383458646,0
40,5.0,2,1,1.0,2.0,9.0,40,40,8.0,9.0,1,0,0,1,3.0,4.0,1600,0.8,False,True,0.3333333333333333,0.0,0.0,True,False,0.5,False,True,False,False,True,False,False,False,False,False,False,True,False,0,1.263457330415755,1.6125,1.0,1.365,1.2827133479212254,1.106981150774676,1.0,1.4264705882352942,3.4404761904761907,1.21875,1
41,3.0,1,0,1.0,1.0,6.0,41,41,5.0,6.0,0,0,0,1,4.0,4.1000000000000005,1681,0.5,True,False,0.0,0.0,0.0,True,False,0.75,True,False,False,True,False,False,False,False,False,True,False,False,False,0,1.0680127523910734,0.9485924112607099,1.2883135059482156,1.237454100367197,1.2731137088204039,0.9986761342736845,1.0,1.2040208488458675,3.4115168539325844,1.2466666666666666,0
42,4.0,1,1,1.0,2.0,2.0,42,42,1.0,2.0,2,0,0,0,3.0,4.2,1764,0.1,False,True,0.6666666666666666,0.0,0.0,True,False,0.5,False,True,False,True,False,False,False,False,False,False,True,False,False,0,1.263457330415755,1.4364207221350078,1.4224049331963,1.3406593406593406,1.2827133479212254,1.086419194179608,2.0,1.4006928406466512,3.370860927152318,1.385395537525355,2
43,2.0,1,0,1.0,1.0,8.0,43,43,7.0,8.0,0,0,0,1,3.0,4.3,1849,0.7,True,False,0.0,0.0,0.0,True,False,0.5,True,False,False,True,False,False,False,False,True,False,False,False,False,0,1.0680127523910734,0.6395939086294417,1.2883135059482156,1.1218274111675126,1.2731137088204039,0.924196196572256,0.0,1.148936170212766,3.2960893854748603,1.1401273885350318,0
44,3.0,1,0,2.0,1.0,1.0,44,44,2.0,1.0,2,0,0,0,4.0,4.4,1936,0.2,True,False,0.6666666666666666,0.0,0.0,False,True,0.75,True,False,False,True,False,False,False,False,False,True,False,False,False,0,0.7821782178217822,0.9485924112607099,1.2883135059482156,1.237454100367197,1.2722772277227723,0.9986761342736845,1.0,1.2040208488458675,3.2,1.2466666666666666,2
