,Player1,Player2,Round,Result,FSP.1,FSW.1,SSP.1,SSW.1,FSP.2,FSW.2,SSP.2,SSW.2
0,Lukas Lacko,Novak Djokovic,1,0,61,35,39,18,68,45,32,17
1,Leonardo Mayer,Albert Montanes,1,1,61,31,39,13,60,23,40,9
2,Marcos Baghdatis,Denis Istomin,1,0,52,53,48,20,77,57,23,15
3,Dmitry Tursunov,Michael Russell,1,1,53,39,47,24,50,24,50,19
4,Juan Monaco,Ernests Gulbis,1,0,76,63,24,12,53,59,47,32
5,Santiago Giraldo,Sam Querrey,1,0,65,51,35,22,63,60,37,22
6,Dudi Sela,Jarkko Nieminen,1,0,68,73,32,24,60,66,40,34
7,Fabio Fognini,Alex Bogomolov Jr.,1,1,47,18,53,15,54,26,46,13
8,David Guez,Richard Gasquet,1,0,64,26,36,12,67,42,33,14
9,Nikolay Davydenko,Lukasz Kubot,1,1,77,76,23,11,60,68,40,25
10,Pablo Carreno Busta,Julien Benneteau,1,0,53,46,47,35,66,62,34,24
11,Tommy Robredo,Lukas Rosol,1,1,57,62,43,43,51,72,49,41
12,Samuel Groth,Vasek Pospisil,1,0,65,40,35,17,67,45,33,13
13,Nicolas Mahut,Matthew Ebden,1,0,64,63,36,23,67,58,33,23
14,Alejandro Falla,Mikhail Kukushkin,1,1,60,50,40,23,55,55,45,23
15,Stanislas Wawrinka,Andrey Golubev,1,1,63,20,37,6,64,18,36,10
16,Alejandro Gonzalez,David Ferrer,1,0,68,34,32,7,53,28,47,21
17,Steve Johnson,Adrian Mannarino,1,0,53,50,47,28,58,52,42,37
18,Ricardas Berankis,Alexandr Dolgopolov,1,0,50,39,50,26,58,42,42,23
19,Jeremy Chardy,Jesse Huta Galung,1,1,66,46,34,16,57,41,43,13
20,Jordan Thompson,Jerzy Janowicz,1,0,60,58,40,21,64,74,36,27
21,Albert Ramos,Pablo Andujar,1,0,61,32,39,10,73,40,27,15
22,Florian Mayer,Denis Kudla,1,1,58,36,42,22,59,35,41,18
23,Mikhail Youzhny,Jan-Lennard Struff,1,1,69,39,31,17,49,24,51,12
24,Guillermo Garcia-Lopez,Tommy Haas,1,1,58,27,42,11,52,22,48,11
25,Carlos Berlocq,Edouard Roger-Vasselin,1,0,57,49,43,32,65,67,35,32
26,Dominic Thiem,Joao Sousa,1,1,55,60,45,31,65,57,35,30
27,Kevin Anderson,Jiri Vesely,1,1,63,76,37,28,57,69,43,43
28,Ivo Karlovic,Ivan Dodig,1,0,66,55,34,18,83,68,17,12
29,Jan Hajek,Damir Dzumhur,1,0,73,31,27,6,53,31,47,19
30,Di Wu,Kenny De Schepper,1,0,60,46,40,29,62,63,38,20
31,Tomas Berdych,Aleksandr Nedovyesov,1,1,66,39,34,19,61,37,39,17
32,James Duckworth,Roger Federer,1,0,52,36,48,19,58,40,42,19
33,Radek Stepanek,Blaz Kavcic,1,0,51,37,49,29,63,43,37,22
34,Teymuraz Gabashvili,Sergiy Stakhovsky,1,1,58,49,42,24,55,50,45,21
35,Fernando Verdasco,Ze Zhang,1,1,61,59,39,24,58,44,42,25
36,Daniel Brands,Gilles Simon,1,0,63,109,37,36,56,114,44,57
37,Marin Cilic,Marcel Granollers,1,1,58,57,42,30,61,64,39,27
38,Thomaz Bellucci,Julian Reister,1,1,53,39,47,24,60,41,40,16
39,Jo-Wilfried Tsonga,Filippo Volandri,1,1,62,37,38,23,57,35,43,20
40,Martin Klizan,John Isner,1,1,54,25,46,21,78,36,22,6
41,Blaz Rola,Federico Delbonis,1,1,68,57,32,13,63,38,37,16
42,Michal Przysiezny,Horacio Zeballos,1,1,69,48,31,17,60,43,40,18
43,Stephane Robert,Aljaz Bedene,1,1,46,25,54,21,54,40,46,9
44,Somdev Devvarman,Feliciano Lopez,1,0,52,34,48,28,65,50,35,18
