,Player2,Player1,Unnamed: 0,Round,Result,FSP.1,FSW.1,SSP.1,SSW.1,FSP.2,FSW.2,SSP.2,SSW.2,Unary_SSP.1,Unary_SSW.1,Unary_SSP.2,FSP_diff,FSW_diff,SSW_diff,FSP_ratio,Total_serve_percentage_1,Total_won_serves_1,Total_serve_percentage_2,GROUPBY_['Round']_mean_FSP_diff,"GROUPBY_['Player1', 'Player2']_mean_FSP_diff","GROUPBY_['Player1', 'Player2']_mean_SSW_diff",GROUPBY_['Round']_mean_Total_won_serves_1,"GROUPBY_['Player1', 'Player2']_max_Round","GROUPBY_['Player1', 'Player2']_max_FSP.1","GROUPBY_['Player1', 'Player2']_count_Round","GROUPBY_['Player1', 'Round']_mean_SSP.1","GROUPBY_['Player1', 'Player2']_mean_Result","GROUPBY_['Player1', 'Player2', 'Round']_mean_SSP.1","GROUPBY_['Player1', 'Player2', 'Round']_mean_FSP_ratio",Player1_has_high_FSW
0,Novak Djokovic,Lukas Lacko,0,1,0,61,35,39,18,68,45,32,17,0.5208333333333334,0.34615384615384615,0.26881720430107525,-7,-10,1,0.8970588235294118,2.5641025641025643,53,100,0.5652985074626866,-7.0,1.0,57.115671641791046,1,61,1,45.666666666666664,0.0,39.0,0.8970588235294118,0
1,Albert Montanes,Leonardo Mayer,1,1,1,61,31,39,13,60,23,40,9,0.5208333333333334,0.25,0.3548387096774194,1,8,4,1.0166666666666666,2.5641025641025643,44,100,0.5652985074626866,1.0,4.0,57.115671641791046,1,61,1,39.0,1.0,39.0,1.0166666666666666,1
2,Denis Istomin,Marcos Baghdatis,2,1,0,52,53,48,20,77,57,23,15,0.7083333333333334,0.38461538461538464,0.17204301075268819,-25,-4,5,0.6753246753246753,2.0833333333333335,73,100,0.5652985074626866,-25.0,5.0,57.115671641791046,1,52,1,48.333333333333336,0.0,48.0,0.6753246753246753,0
3,Michael Russell,Dmitry Tursunov,3,1,1,53,39,47,24,50,24,50,19,0.6875,0.46153846153846156,0.46236559139784944,3,15,5,1.06,2.127659574468085,63,100,0.5652985074626866,3.0,5.0,57.115671641791046,1,53,1,47.0,1.0,47.0,1.06,1
4,Ernests Gulbis,Juan Monaco,4,1,0,76,63,24,12,53,59,47,32,0.20833333333333334,0.23076923076923078,0.43010752688172044,23,4,-20,1.4339622641509433,4.166666666666667,75,100,0.5652985074626866,23.0,-20.0,57.115671641791046,1,76,1,23.0,0.0,24.0,1.4339622641509433,1
5,Sam Querrey,Santiago Giraldo,5,1,0,65,51,35,22,63,60,37,22,0.4375,0.4230769230769231,0.3225806451612903,2,-9,0,1.0317460317460319,2.857142857142857,73,100,0.5652985074626866,2.0,0.0,57.115671641791046,1,65,1,38.5,0.0,35.0,1.0317460317460319,0
6,Jarkko Nieminen,Dudi Sela,6,1,0,68,73,32,24,60,66,40,34,0.375,0.46153846153846156,0.3548387096774194,8,7,-10,1.1333333333333333,3.125,97,100,0.5652985074626866,8.0,-10.0,57.115671641791046,1,68,1,35.0,0.0,32.0,1.1333333333333333,1
7,Alex Bogomolov Jr.,Fabio Fognini,7,1,1,47,18,53,15,54,26,46,13,0.8125,0.28846153846153844,0.41935483870967744,-7,-8,2,0.8703703703703703,1.8867924528301887,33,100,0.5652985074626866,-7.0,2.0,57.115671641791046,1,47,1,53.0,1.0,53.0,0.8703703703703703,0
8,Richard Gasquet,David Guez,8,1,0,64,26,36,12,67,42,33,14,0.4583333333333333,0.23076923076923078,0.27956989247311825,-3,-16,-2,0.9552238805970149,2.7777777777777777,38,100,0.5652985074626866,-3.0,-2.0,57.115671641791046,1,64,1,36.0,0.0,36.0,0.9552238805970149,0
9,Lukasz Kubot,Nikolay Davydenko,9,1,1,77,76,23,11,60,68,40,25,0.1875,0.21153846153846154,0.3548387096774194,17,8,-14,1.2833333333333334,4.3478260869565215,87,100,0.5652985074626866,17.0,-14.0,57.115671641791046,1,77,1,23.0,1.0,23.0,1.2833333333333334,1
