,Player2,Player1,Unnamed: 0,Round,Result,FSP.1,FSW.1,SSP.1,SSW.1,FSP.2,FSW.2,SSP.2,SSW.2,Normalized_FSP.1,Unary_FSP.1,Normalized_FSW.1,Unary_FSW.1,Normalized_SSP.1,Unary_SSP.1,Normalized_SSW.1,Unary_SSW.1,Normalized_FSP.2,Unary_FSP.2,Normalized_SSP.2,Unary_SSP.2,Unary_SSW.2,FSP_diff,FSW_diff,"GROUPBY_['Player1', 'Player2', 'Round']_mean_FSP_diff","GROUPBY_['Player1', 'Player2', 'Round']_mean_Result","GROUPBY_['Player1', 'Player2', 'Round']_mean_FSW_diff","GROUPBY_['Player1', 'Player2', 'Round']_mean_SSW.1","GROUPBY_['Player1', 'Player2', 'Round']_mean_SSP.1","GROUPBY_['Player1', 'Player2']_mean_Result","GROUPBY_['Player1', 'Player2', 'Round']_mean_SSW.2","GROUPBY_['Player1', 'Round']_mean_SSP.1","GROUPBY_['Player1', 'Player2']_sum_SSW.1","GROUPBY_['Player1', 'Round']_mean_FSP.1",Player1_vs_Player2_FSW_diff,Player1_vs_Player2_FSP_diff
0,Novak Djokovic,Lukas Lacko,0,1,0,61,35,39,18,68,45,32,17,0.4791666666666667,0.4791666666666667,0.3018867924528302,0.3018867924528302,0.5208333333333334,0.5208333333333334,0.3333333333333333,0.34615384615384615,0.7311827956989247,0.7311827956989247,0.26881720430107525,0.26881720430107525,0.2982456140350877,-0.10294117647058823,-10,-0.10294117647058823,0.0,-10.0,18.0,39.0,0.0,17.0,45.666666666666664,18,54.333333333333336,-10,-7
1,Albert Montanes,Leonardo Mayer,1,1,1,61,31,39,13,60,23,40,9,0.4791666666666667,0.4791666666666667,0.2641509433962264,0.2641509433962264,0.5208333333333334,0.5208333333333334,0.23529411764705882,0.25,0.6451612903225806,0.6451612903225806,0.3548387096774194,0.3548387096774194,0.15789473684210525,0.016666666666666666,8,0.016666666666666666,1.0,8.0,13.0,39.0,1.0,9.0,39.0,13,61.0,8,1
2,Denis Istomin,Marcos Baghdatis,2,1,0,52,53,48,20,77,57,23,15,0.2916666666666667,0.2916666666666667,0.4716981132075472,0.4716981132075472,0.7083333333333334,0.7083333333333334,0.37254901960784315,0.38461538461538464,0.8279569892473119,0.8279569892473119,0.17204301075268819,0.17204301075268819,0.2631578947368421,-0.3246753246753247,-4,-0.3246753246753247,0.0,-4.0,20.0,48.0,0.0,15.0,48.333333333333336,20,51.666666666666664,-4,-25
3,Michael Russell,Dmitry Tursunov,3,1,1,53,39,47,24,50,24,50,19,0.3125,0.3125,0.33962264150943394,0.33962264150943394,0.6875,0.6875,0.45098039215686275,0.46153846153846156,0.5376344086021505,0.5376344086021505,0.46236559139784944,0.46236559139784944,0.3333333333333333,0.06,15,0.06,1.0,15.0,24.0,47.0,1.0,19.0,47.0,24,53.0,15,3
4,Ernests Gulbis,Juan Monaco,4,1,0,76,63,24,12,53,59,47,32,0.7916666666666666,0.7916666666666666,0.5660377358490566,0.5660377358490566,0.20833333333333334,0.20833333333333334,0.21568627450980393,0.23076923076923078,0.5698924731182796,0.5698924731182796,0.43010752688172044,0.43010752688172044,0.5614035087719298,0.4339622641509434,4,0.4339622641509434,0.0,4.0,12.0,24.0,0.0,32.0,23.0,12,77.0,4,23
5,Sam Querrey,Santiago Giraldo,5,1,0,65,51,35,22,63,60,37,22,0.5625,0.5625,0.4528301886792453,0.4528301886792453,0.4375,0.4375,0.4117647058823529,0.4230769230769231,0.6774193548387096,0.6774193548387096,0.3225806451612903,0.3225806451612903,0.38596491228070173,0.031746031746031744,-9,0.031746031746031744,0.0,-9.0,22.0,35.0,0.0,22.0,38.5,22,61.5,-9,2
6,Jarkko Nieminen,Dudi Sela,6,1,0,68,73,32,24,60,66,40,34,0.625,0.625,0.660377358490566,0.660377358490566,0.375,0.375,0.45098039215686275,0.46153846153846156,0.6451612903225806,0.6451612903225806,0.3548387096774194,0.3548387096774194,0.5964912280701754,0.13333333333333333,7,0.13333333333333333,0.0,7.0,24.0,32.0,0.0,34.0,35.0,24,65.0,7,8
7,Alex Bogomolov Jr.,Fabio Fognini,7,1,1,47,18,53,15,54,26,46,13,0.1875,0.1875,0.14150943396226415,0.14150943396226415,0.8125,0.8125,0.27450980392156865,0.28846153846153844,0.5806451612903226,0.5806451612903226,0.41935483870967744,0.41935483870967744,0.22807017543859648,-0.12962962962962962,-8,-0.12962962962962962,1.0,-8.0,15.0,53.0,1.0,13.0,53.0,15,47.0,-8,-7
8,Richard Gasquet,David Guez,8,1,0,64,26,36,12,67,42,33,14,0.5416666666666666,0.5416666666666666,0.2169811320754717,0.2169811320754717,0.4583333333333333,0.4583333333333333,0.21568627450980393,0.23076923076923078,0.7204301075268817,0.7204301075268817,0.27956989247311825,0.27956989247311825,0.24561403508771928,-0.04477611940298507,-16,-0.04477611940298507,0.0,-16.0,12.0,36.0,0.0,14.0,36.0,12,64.0,-16,-3
9,Lukasz Kubot,Nikolay Davydenko,9,1,1,77,76,23,11,60,68,40,25,0.8125,0.8125,0.6886792452830188,0.6886792452830188,0.1875,0.1875,0.19607843137254902,0.21153846153846154,0.6451612903225806,0.6451612903225806,0.3548387096774194,0.3548387096774194,0.43859649122807015,0.2833333333333333,8,0.2833333333333333,1.0,8.0,11.0,23.0,1.0,25.0,23.0,11,77.0,8,17
10,Julien Benneteau,Pablo Carreno Busta,10,1,0,53,46,47,35,66,62,34,24,0.3125,0.3125,0.4056603773584906,0.4056603773584906,0.6875,0.6875,0.6666666666666666,0.6730769230769231,0.7096774193548387,0.7096774193548387,0.2903225806451613,0.2903225806451613,0.42105263157894735,-0.19696969696969696,-16,-0.19696969696969696,0.0,-16.0,35.0,47.0,0.0,24.0,47.0,35,53.0,-16,-13
11,Lukas Rosol,Tommy Robredo,11,1,1,57,62,43,43,51,72,49,41,0.3958333333333333,0.3958333333333333,0.5566037735849056,0.5566037735849056,0.6041666666666666,0.6041666666666666,0.8235294117647058,0.8269230769230769,0.5483870967741935,0.5483870967741935,0.45161290322580644,0.45161290322580644,0.7192982456140351,0.11764705882352941,-10,0.11764705882352941,1.0,-10.0,43.0,43.0,1.0,41.0,42.6,43,57.4,-10,6
12,Vasek Pospisil,Samuel Groth,12,1,0,65,40,35,17,67,45,33,13,0.5625,0.5625,0.3490566037735849,0.3490566037735849,0.4375,0.4375,0.3137254901960784,0.3269230769230769,0.7204301075268817,0.7204301075268817,0.27956989247311825,0.27956989247311825,0.22807017543859648,-0.029850746268656716,-5,-0.029850746268656716,0.0,-5.0,17.0,35.0,0.0,13.0,35.0,17,65.0,-5,-2
13,Matthew Ebden,Nicolas Mahut,13,1,0,64,63,36,23,67,58,33,23,0.5416666666666666,0.5416666666666666,0.5660377358490566,0.5660377358490566,0.4583333333333333,0.4583333333333333,0.43137254901960786,0.4423076923076923,0.7204301075268817,0.7204301075268817,0.27956989247311825,0.27956989247311825,0.40350877192982454,-0.04477611940298507,5,-0.04477611940298507,0.0,5.0,23.0,36.0,0.0,23.0,36.5,23,63.5,5,-3
14,Mikhail Kukushkin,Alejandro Falla,14,1,1,60,50,40,23,55,55,45,23,0.4583333333333333,0.4583333333333333,0.44339622641509435,0.44339622641509435,0.5416666666666666,0.5416666666666666,0.43137254901960786,0.4423076923076923,0.5913978494623656,0.5913978494623656,0.40860215053763443,0.40860215053763443,0.40350877192982454,0.09090909090909091,-5,0.09090909090909091,1.0,-5.0,23.0,40.0,1.0,23.0,43.0,23,57.0,-5,5
15,Andrey Golubev,Stanislas Wawrinka,15,1,1,63,20,37,6,64,18,36,10,0.5208333333333334,0.5208333333333334,0.16037735849056603,0.16037735849056603,0.4791666666666667,0.4791666666666667,0.09803921568627451,0.11538461538461539,0.6881720430107527,0.6881720430107527,0.3118279569892473,0.3118279569892473,0.17543859649122806,-0.015625,2,-0.015625,1.0,2.0,6.0,37.0,1.0,10.0,41.166666666666664,6,58.833333333333336,2,-1
16,David Ferrer,Alejandro Gonzalez,16,1,0,68,34,32,7,53,28,47,21,0.625,0.625,0.29245283018867924,0.29245283018867924,0.375,0.375,0.11764705882352941,0.1346153846153846,0.5698924731182796,0.5698924731182796,0.43010752688172044,0.43010752688172044,0.3684210526315789,0.2830188679245283,6,0.2830188679245283,0.0,6.0,7.0,32.0,0.0,21.0,32.0,7,68.0,6,15
17,Adrian Mannarino,Steve Johnson,17,1,0,53,50,47,28,58,52,42,37,0.3125,0.3125,0.44339622641509435,0.44339622641509435,0.6875,0.6875,0.5294117647058824,0.5384615384615384,0.6236559139784946,0.6236559139784946,0.3763440860215054,0.3763440860215054,0.6491228070175439,-0.08620689655172414,-2,-0.08620689655172414,0.0,-2.0,28.0,47.0,0.0,37.0,46.0,28,54.0,-2,-5
18,Alexandr Dolgopolov,Ricardas Berankis,18,1,0,50,39,50,26,58,42,42,23,0.25,0.25,0.33962264150943394,0.33962264150943394,0.75,0.75,0.49019607843137253,0.5,0.6236559139784946,0.6236559139784946,0.3763440860215054,0.3763440860215054,0.40350877192982454,-0.13793103448275862,-3,-0.13793103448275862,0.0,-3.0,26.0,50.0,0.0,23.0,50.0,26,50.0,-3,-8
19,Jesse Huta Galung,Jeremy Chardy,19,1,1,66,46,34,16,57,41,43,13,0.5833333333333334,0.5833333333333334,0.4056603773584906,0.4056603773584906,0.4166666666666667,0.4166666666666667,0.29411764705882354,0.3076923076923077,0.6129032258064516,0.6129032258064516,0.3870967741935484,0.3870967741935484,0.22807017543859648,0.15789473684210525,5,0.15789473684210525,1.0,5.0,16.0,34.0,1.0,13.0,34.0,16,66.0,5,9
20,Jerzy Janowicz,Jordan Thompson,20,1,0,60,58,40,21,64,74,36,27,0.4583333333333333,0.4583333333333333,0.5188679245283019,0.5188679245283019,0.5416666666666666,0.5416666666666666,0.39215686274509803,0.40384615384615385,0.6881720430107527,0.6881720430107527,0.3118279569892473,0.3118279569892473,0.47368421052631576,-0.0625,-16,-0.0625,0.0,-16.0,21.0,40.0,0.0,27.0,40.0,21,60.0,-16,-4
21,Pablo Andujar,Albert Ramos,21,1,0,61,32,39,10,73,40,27,15,0.4791666666666667,0.4791666666666667,0.27358490566037735,0.27358490566037735,0.5208333333333334,0.5208333333333334,0.17647058823529413,0.19230769230769232,0.7849462365591398,0.7849462365591398,0.21505376344086022,0.21505376344086022,0.2631578947368421,-0.1643835616438356,-8,-0.1643835616438356,0.0,-8.0,10.0,39.0,0.0,15.0,41.0,10,59.0,-8,-12
22,Denis Kudla,Florian Mayer,22,1,1,58,36,42,22,59,35,41,18,0.4166666666666667,0.4166666666666667,0.3113207547169811,0.3113207547169811,0.5833333333333334,0.5833333333333334,0.4117647058823529,0.4230769230769231,0.6344086021505376,0.6344086021505376,0.3655913978494624,0.3655913978494624,0.3157894736842105,-0.01694915254237288,1,-0.01694915254237288,1.0,1.0,22.0,42.0,1.0,18.0,39.333333333333336,22,60.666666666666664,1,-1
23,Jan-Lennard Struff,Mikhail Youzhny,23,1,1,69,39,31,17,49,24,51,12,0.6458333333333334,0.6458333333333334,0.33962264150943394,0.33962264150943394,0.3541666666666667,0.3541666666666667,0.3137254901960784,0.3269230769230769,0.5268817204301075,0.5268817204301075,0.4731182795698925,0.4731182795698925,0.21052631578947367,0.40816326530612246,15,0.40816326530612246,1.0,15.0,17.0,31.0,1.0,12.0,35.666666666666664,17,64.33333333333333,15,20
24,Tommy Haas,Guillermo Garcia-Lopez,24,1,1,58,27,42,11,52,22,48,11,0.4166666666666667,0.4166666666666667,0.22641509433962265,0.22641509433962265,0.5833333333333334,0.5833333333333334,0.19607843137254902,0.21153846153846154,0.5591397849462365,0.5591397849462365,0.44086021505376344,0.44086021505376344,0.19298245614035087,0.11538461538461539,5,0.11538461538461539,1.0,5.0,11.0,42.0,1.0,11.0,47.0,11,53.0,5,6
25,Edouard Roger-Vasselin,Carlos Berlocq,25,1,0,57,49,43,32,65,67,35,32,0.3958333333333333,0.3958333333333333,0.4339622641509434,0.4339622641509434,0.6041666666666666,0.6041666666666666,0.6078431372549019,0.6153846153846154,0.6989247311827957,0.6989247311827957,0.3010752688172043,0.3010752688172043,0.5614035087719298,-0.12307692307692308,-18,-0.12307692307692308,0.0,-18.0,32.0,43.0,0.0,32.0,35.0,32,65.0,-18,-8
26,Joao Sousa,Dominic Thiem,26,1,1,55,60,45,31,65,57,35,30,0.3541666666666667,0.3541666666666667,0.5377358490566038,0.5377358490566038,0.6458333333333334,0.6458333333333334,0.5882352941176471,0.5961538461538461,0.6989247311827957,0.6989247311827957,0.3010752688172043,0.3010752688172043,0.5263157894736842,-0.15384615384615385,3,-0.15384615384615385,1.0,3.0,31.0,45.0,1.0,30.0,45.0,31,55.0,3,-10
27,Jiri Vesely,Kevin Anderson,27,1,1,63,76,37,28,57,69,43,43,0.5208333333333334,0.5208333333333334,0.6886792452830188,0.6886792452830188,0.4791666666666667,0.4791666666666667,0.5294117647058824,0.5384615384615384,0.6129032258064516,0.6129032258064516,0.3870967741935484,0.3870967741935484,0.7543859649122807,0.10526315789473684,7,0.10526315789473684,1.0,7.0,28.0,37.0,1.0,43.0,37.0,28,63.0,7,6
28,Ivan Dodig,Ivo Karlovic,28,1,0,66,55,34,18,83,68,17,12,0.5833333333333334,0.5833333333333334,0.49056603773584906,0.49056603773584906,0.4166666666666667,0.4166666666666667,0.3333333333333333,0.34615384615384615,0.8924731182795699,0.8924731182795699,0.10752688172043011,0.10752688172043011,0.21052631578947367,-0.20481927710843373,-13,-0.20481927710843373,0.0,-13.0,18.0,34.0,0.0,12.0,34.0,18,66.0,-13,-17
29,Damir Dzumhur,Jan Hajek,29,1,0,73,31,27,6,53,31,47,19,0.7291666666666666,0.7291666666666666,0.2641509433962264,0.2641509433962264,0.2708333333333333,0.2708333333333333,0.09803921568627451,0.11538461538461539,0.5698924731182796,0.5698924731182796,0.43010752688172044,0.43010752688172044,0.3333333333333333,0.37735849056603776,0,0.37735849056603776,0.0,0.0,6.0,27.0,0.0,19.0,28.5,6,71.5,0,20
