,race1,fulltime,sex,decile3,lsat,ugpa,grad,bar1,fam_inc,tier,Bucketize_decile3,Scaling_decile1,sex_1.0,sex_2.0,Bucketize_ugpa,fulltime_1.0,fulltime_2.0,gender_female,gender_male,race1_asian,race1_black,race1_hisp,race1_other,race1_white,Bucketize_tier,ugpa_lsat_ratio,lsat_ugpa_ratio,LSAT_GPA_Ratio,lsat_gpa_ratio,lsat_gpa_interaction,lsat_ugpa_interaction,"GROUPBY_['sex', 'fulltime', 'tier']_mean_lsat","GROUPBY_['sex', 'fulltime', 'race1', 'tier']_mean_lsat",lsat_ugpa_interaction_ratio,lsat_ugpa_interaction_bucket,lsat_decile3_ratio,ugpa_decile3_ratio,lsat_ugpa_interaction_bucket_fulltime,lsat_ugpa_interaction_bucket_rank
0,hisp,1.0,1.0,5.0,28.0,3.5,Y,F,2.0,1.0,Medium,0.6666666666666666,True,False,3-4,True,False,True,False,False,False,True,False,False,High,0.125,8.0,8.0,8.0,98.0,98.0,26.25505617977528,24.5,3.5,1,5.6,0.7,-inf-150_1,
1,white,1.0,1.0,2.0,33.0,3.5,Y,F,4.0,2.0,Low,0.2222222222222222,True,False,3-4,True,False,True,False,False,False,False,False,True,Medium,0.10606060606060606,9.428571428571429,9.428571428571429,9.428571428571429,115.5,115.5,31.798936170212766,32.56163522012579,3.5,2,16.5,1.75,-inf-150_1,
2,white,1.0,1.0,5.0,36.0,3.5,Y,P,3.0,4.0,Medium,0.5555555555555556,True,False,3-4,True,False,True,False,False,False,False,False,True,Unknown,0.09722222222222222,10.285714285714286,10.285714285714286,10.285714285714286,126.0,126.0,35.002536997885834,37.07461773700306,3.5,2,7.2,0.7,-inf-150_1,
3,white,1.0,1.0,3.0,33.0,3.5,Y,F,4.0,5.0,Low,0.4444444444444444,True,False,3-4,True,False,True,False,False,False,False,False,True,Unknown,0.10606060606060606,9.428571428571429,9.428571428571429,9.428571428571429,115.5,115.5,36.387387387387385,38.453917050691246,3.5,2,11.0,1.1666666666666667,-inf-150_1,
4,white,1.0,1.0,7.0,30.0,3.5,Y,F,3.0,2.0,High,0.6666666666666666,True,False,3-4,True,False,True,False,False,False,False,False,True,Medium,0.11666666666666667,8.571428571428571,8.571428571428571,8.571428571428571,105.0,105.0,31.798936170212766,32.56163522012579,3.5,2,4.285714285714286,0.5,-inf-150_1,
5,white,1.0,2.0,10.0,34.0,3.5,Y,P,3.0,3.0,,1.0,False,True,3-4,True,False,False,True,False,False,False,False,True,Low,0.10294117647058823,9.714285714285714,9.714285714285714,9.714285714285714,119.0,119.0,34.63171641791045,35.47604166666667,3.5,2,3.4,0.35,-inf-150_1,
6,white,1.0,1.0,4.0,32.0,3.5,Y,P,4.0,5.0,Medium,0.3333333333333333,True,False,3-4,True,False,True,False,False,False,False,False,True,Unknown,0.109375,9.142857142857142,9.142857142857142,9.142857142857142,112.0,112.0,36.387387387387385,38.453917050691246,3.5,2,8.0,0.875,-inf-150_1,
7,white,1.0,1.0,2.0,32.0,3.5,Y,F,3.0,4.0,Low,0.0,True,False,3-4,True,False,True,False,False,False,False,False,True,Unknown,0.109375,9.142857142857142,9.142857142857142,9.142857142857142,112.0,112.0,35.002536997885834,37.07461773700306,3.5,2,16.0,1.75,-inf-150_1,
8,white,1.0,1.0,3.0,28.0,3.5,Y,P,4.0,3.0,Low,0.1111111111111111,True,False,3-4,True,False,True,False,False,False,False,False,True,Low,0.125,8.0,8.0,8.0,98.0,98.0,33.20194174757281,34.759302325581395,3.5,1,9.333333333333334,1.1666666666666667,-inf-150_1,
9,white,1.0,1.0,6.0,41.0,3.5,Y,P,3.0,6.0,Medium,0.3333333333333333,True,False,3-4,True,False,True,False,False,False,False,False,True,Unknown,0.08536585365853659,11.714285714285714,11.714285714285714,11.714285714285714,143.5,143.5,40.40686274509804,41.95,3.5,2,6.833333333333333,0.5833333333333334,-inf-150_1,
10,white,1.0,2.0,4.0,35.0,3.5,Y,F,3.0,2.0,Medium,0.1111111111111111,False,True,3-4,True,False,False,True,False,False,False,False,True,Medium,0.1,10.0,10.0,10.0,122.5,122.5,32.29148148148148,32.804201680672264,3.5,2,8.75,0.875,-inf-150_1,
11,white,2.0,2.0,7.0,35.0,3.5,Y,F,3.0,3.0,High,0.4444444444444444,False,True,3-4,False,True,False,True,False,False,False,False,True,Low,0.1,10.0,10.0,10.0,122.5,122.5,32.65514018691589,33.98641975308642,3.5,2,5.0,0.5,-inf-150_2,
12,white,1.0,2.0,7.0,37.0,3.5,Y,P,4.0,3.0,High,0.5555555555555556,False,True,3-4,True,False,False,True,False,False,False,False,True,Low,0.0945945945945946,10.571428571428571,10.571428571428571,10.571428571428571,129.5,129.5,34.63171641791045,35.47604166666667,3.5,2,5.285714285714286,0.5,-inf-150_1,
13,white,1.0,2.0,4.0,44.0,3.5,Y,F,3.0,6.0,Medium,0.1111111111111111,False,True,3-4,True,False,False,True,False,False,False,False,True,Unknown,0.07954545454545454,12.571428571428571,12.571428571428571,12.571428571428571,154.0,154.0,40.74825174825175,42.35514018691589,3.5,2,11.0,0.875,-inf-150_1,
14,white,1.0,2.0,9.0,45.0,3.5,Y,F,2.0,3.0,High,0.5555555555555556,False,True,3-4,True,False,False,True,False,False,False,False,True,Low,0.07777777777777778,12.857142857142858,12.857142857142858,12.857142857142858,157.5,157.5,34.63171641791045,35.47604166666667,3.5,2,5.0,0.3888888888888889,-inf-150_1,
15,white,1.0,2.0,4.0,29.0,3.5,Y,P,3.0,3.0,Medium,0.5555555555555556,False,True,3-4,True,False,False,True,False,False,False,False,True,Low,0.1206896551724138,8.285714285714286,8.285714285714286,8.285714285714286,101.5,101.5,34.63171641791045,35.47604166666667,3.5,2,7.25,0.875,-inf-150_1,
16,white,1.0,1.0,4.0,44.0,3.5,Y,P,3.0,4.0,Medium,0.3333333333333333,True,False,3-4,True,False,True,False,False,False,False,False,True,Unknown,0.07954545454545454,12.571428571428571,12.571428571428571,12.571428571428571,154.0,154.0,35.002536997885834,37.07461773700306,3.5,2,11.0,0.875,-inf-150_1,
17,white,1.0,2.0,3.0,44.0,3.5,Y,P,3.0,6.0,Low,0.1111111111111111,False,True,3-4,True,False,False,True,False,False,False,False,True,Unknown,0.07954545454545454,12.571428571428571,12.571428571428571,12.571428571428571,154.0,154.0,40.74825174825175,42.35514018691589,3.5,2,14.666666666666666,1.1666666666666667,-inf-150_1,
18,white,1.0,1.0,3.0,25.0,3.5,Y,F,5.0,4.0,Low,0.3333333333333333,True,False,3-4,True,False,True,False,False,False,False,False,True,Unknown,0.14,7.142857142857143,7.142857142857143,7.142857142857143,87.5,87.5,35.002536997885834,37.07461773700306,3.5,1,8.333333333333334,1.1666666666666667,-inf-150_1,
19,white,1.0,2.0,2.0,33.0,3.5,Y,F,4.0,4.0,Low,0.1111111111111111,False,True,3-4,True,False,False,True,False,False,False,False,True,Unknown,0.10606060606060606,9.428571428571429,9.428571428571429,9.428571428571429,115.5,115.5,36.76711864406779,38.57636363636363,3.5,2,16.5,1.75,-inf-150_1,
20,white,1.0,1.0,8.0,39.0,3.5,Y,P,4.0,3.0,High,0.6666666666666666,True,False,3-4,True,False,True,False,False,False,False,False,True,Low,0.08974358974358974,11.142857142857142,11.142857142857142,11.142857142857142,136.5,136.5,33.20194174757281,34.759302325581395,3.5,2,4.875,0.4375,-inf-150_1,
21,white,1.0,1.0,6.0,39.0,3.5,Y,P,2.0,5.0,Medium,0.3333333333333333,True,False,3-4,True,False,True,False,False,False,False,False,True,Unknown,0.08974358974358974,11.142857142857142,11.142857142857142,11.142857142857142,136.5,136.5,36.387387387387385,38.453917050691246,3.5,2,6.5,0.5833333333333334,-inf-150_1,
22,white,1.0,1.0,4.0,26.0,3.5,Y,F,1.0,4.0,Medium,0.3333333333333333,True,False,3-4,True,False,True,False,False,False,False,False,True,Unknown,0.1346153846153846,7.428571428571429,7.428571428571429,7.428571428571429,91.0,91.0,35.002536997885834,37.07461773700306,3.5,1,6.5,0.875,-inf-150_1,
23,white,1.0,1.0,4.0,28.0,3.5,Y,P,3.0,5.0,Medium,0.7777777777777778,True,False,3-4,True,False,True,False,False,False,False,False,True,Unknown,0.125,8.0,8.0,8.0,98.0,98.0,36.387387387387385,38.453917050691246,3.5,1,7.0,0.875,-inf-150_1,
