,Unnamed: 0,Player1,Player2,Round,Result,FSP.1,FSW.1,SSP.1,SSW.1,FSP.2,FSW.2,SSP.2,SSW.2,bucketize_FSP.1,scaling_FSP.1,Scaling_FSW.1,scaling_SSP.1,bucketize_SSP.1,Scaling_SSW.1,Scaling_FSP.2,Serve_Efficiency_Player1,serve_effectiveness,Serve_Difference,ServeEfficiencyDiff,Serve_Average.1,Serve_Effectiveness,Serve_Efficiency_Difference,Serve_Preference,ServeEffectivenessRatio,"GROUPBY_['Player1', 'Player2', 'Round']_mean_Serve_Effectiveness","GROUPBY_['Player1', 'Player2', 'Round']_mean_Serve_Efficiency_Player1","GROUPBY_['Player1', 'Player2', 'Round']_mean_FSP.1","GROUPBY_['Player1', 'Player2']_mean_Round"
0,0,Lukas Lacko,Novak Djokovic,1,0,61,35,39,18,68,45,32,17,Medium,0.61,35.0,0.39,medium,0.18,0.68,0.5737704918032787,0.9444444444444444,-0.10294117647058823,-0.2222222222222222,50.0,0.5737704918032787,-0.37067395264116576,0.9444444444444444,1.0,0.5737704918032787,0.5737704918032787,61.0,1.0
1,1,Leonardo Mayer,Albert Montanes,1,1,61,31,39,13,60,23,40,9,Medium,0.61,31.0,0.39,medium,0.13,0.6,0.5081967213114754,1.3846153846153846,0.016666666666666666,0.34782608695652173,50.0,0.5081967213114754,-0.8764186633039092,1.3846153846153846,1.0,0.5081967213114754,0.5081967213114754,61.0,1.0
2,2,Marcos Baghdatis,Denis Istomin,1,0,52,53,48,20,77,57,23,15,Medium,0.52,53.0,0.48,medium,0.2,0.77,1.0192307692307692,1.65,-0.3246753246753247,-0.07017543859649122,50.0,1.0192307692307692,-0.6307692307692307,1.65,1.0,1.0192307692307692,1.0192307692307692,52.0,1.0
3,3,Dmitry Tursunov,Michael Russell,1,1,53,39,47,24,50,24,50,19,Medium,0.53,39.0,0.47,medium,0.24,0.5,0.7358490566037735,0.625,0.06,0.625,50.0,0.7358490566037735,0.11084905660377353,0.625,1.0,0.7358490566037735,0.7358490566037735,53.0,1.0
4,4,Juan Monaco,Ernests Gulbis,1,0,76,63,24,12,53,59,47,32,High,0.76,63.0,0.24,low,0.12,0.53,0.8289473684210527,4.25,0.4339622641509434,0.06779661016949153,50.0,0.8289473684210527,-3.4210526315789473,4.25,1.0,0.8289473684210527,0.8289473684210527,76.0,1.0
5,5,Santiago Giraldo,Sam Querrey,1,0,65,51,35,22,63,60,37,22,Medium,0.65,51.0,0.35,medium,0.22,0.63,0.7846153846153846,1.3181818181818181,0.031746031746031744,-0.15,50.0,0.7846153846153846,-0.5335664335664335,1.3181818181818181,1.0,0.7846153846153846,0.7846153846153846,65.0,1.0
6,6,Dudi Sela,Jarkko Nieminen,1,0,68,73,32,24,60,66,40,34,High,0.68,73.0,0.32,low,0.24,0.6,1.0735294117647058,2.0416666666666665,0.13333333333333333,0.10606060606060606,50.0,1.0735294117647058,-0.9681372549019607,2.0416666666666665,1.0,1.0735294117647058,1.0735294117647058,68.0,1.0
7,7,Fabio Fognini,Alex Bogomolov Jr.,1,1,47,18,53,15,54,26,46,13,Medium,0.47,18.0,0.53,medium,0.15,0.54,0.3829787234042553,0.2,-0.12962962962962962,-0.3076923076923077,50.0,0.3829787234042553,0.1829787234042553,0.2,1.0,0.3829787234042553,0.3829787234042553,47.0,1.0
8,8,David Guez,Richard Gasquet,1,0,64,26,36,12,67,42,33,14,Medium,0.64,26.0,0.36,medium,0.12,0.67,0.40625,1.1666666666666667,-0.04477611940298507,-0.38095238095238093,50.0,0.40625,-0.7604166666666667,1.1666666666666667,1.0,0.40625,0.40625,64.0,1.0
9,9,Nikolay Davydenko,Lukasz Kubot,1,1,77,76,23,11,60,68,40,25,High,0.77,76.0,0.23,low,0.11,0.6,0.987012987012987,5.909090909090909,0.2833333333333333,0.11764705882352941,50.0,0.987012987012987,-4.922077922077922,5.909090909090909,1.0,0.987012987012987,0.987012987012987,77.0,1.0
